VCD info: dumpfile mips_sintesis_tb.vcd opened for output.
clk, rst, ALUOut, PC, instruction, ALUOp, aluControl, SrcA, SrcB, memoryOutData
1, 1,          z,          z, zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, x,  x,          x,          x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 
0, 1,          z,          z, zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz, x,  x,          x,          x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 1,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 0,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
0, 0,          0,          0, 00000000000000000000000000000000, 0,  2,          0,          4, 00100010000010000000000000000011, 
1, 0,          4,          4, 00100010000010000000000000000011, 0,  2,          4,         12, 00100010000010010000000000000111, 
